testname,width,height,num_seams_removed,grey,conv,convp,pathsum,minpath,rmpath,malloc,total
base,858,480,209,7480226,180838930,271063874,2421442835,6472389,95228503,1302521,298382927
base,858,480,209,7787840,180453257,271266184,2424271645,6474001,95251336,2031815,298753607
base,858,480,235,19625360,343051544,351344581,3086616677,8386506,121849825,4605516,393548000
base,858,480,235,7888736,194691590,322830496,2822373215,7668931,110158358,1365997,346697732
base,858,480,235,8213874,195277562,322605113,2824057558,7654376,109933849,2122880,346986521
base,858,480,261,19468392,337455484,386991269,3343850915,9198220,131938075,4438286,423334064
base,858,480,261,7880619,191234950,359227592,3085320281,8504378,120581573,1433810,377418320
base,858,480,261,8292963,190750316,357592890,3081008712,8485668,120952190,2270069,376935280
base,858,480,287,19664024,338016806,422158178,3587130864,10037005,142168123,4442393,452361739
base,858,480,287,7872070,190785390,393538121,3325854199,9323118,130630962,1540097,405954395
base,858,480,287,8246301,190842816,393312069,3323256260,9314361,130466881,2163200,405760188
base,858,480,313,19780488,338395086,457684823,3824134403,10862865,151847198,4414256,480711911
base,858,480,313,7877824,190526217,429933353,3559616847,10118909,140046762,1402549,433952246
